Theme;Answer
Что такое фигуры технического анализа и как их используют инвесторы;Существует шесть наиболее распространенных фигур технического анализа: флаг, вымпел, треугольник, прямоугольник, голова и плечи, двойная и тройная вершины. Каждую из них используют в зависимости от конкретной ситуации. Однако такой анализ не строится на фундаментальных факторах и не позволяет объективно увидеть рыночную картину.
CAPEX: что такое капитальные затраты;CAPEX используются для приобретения внеоборотных активов. Капитальные затраты связаны с приобретением активов, которые прослужат предприятию не один год. Например, покупка лицензии, срок которой истекает через месяц, не будет относиться к CAPEX. А оформление разрешения на добычу полезных ископаемых на срок в пять лет — будет.
CAPEX: что такое капитальные затраты;Капитальные затраты — это нерегулярные затраты, в отличие от текущих расходов. Например, арендные платежи за производственное помещение нельзя отнести к CAPEX, а затраты на покупку нового помещения — можно.
CAPEX: что такое капитальные затраты;Инвестиционные программы предприятий рассчитаны на месяцы и годы и требуют крупных денежных вложений, которые могут окупиться через несколько лет или не окупиться вовсе. В качестве источников финансирования используются не только собственные, но и заемные средства.
CAPEX: что такое капитальные затраты;Есть капиталоемкие отрасли, которые требуют больших капитальных затрат на развитие и сохранение работоспособности. Например, разведка и добыча природных ресурсов, обрабатывающая промышленность, строительство, электроэнергетика. Есть отрасли, которым для работы не нужно много внеоборотных активов. Например, IT, финансовая и торговая отрасли. Они тратят на приобретение и модернизацию активов значительно меньше, чем капиталоемкие отрасли.
Курс валют: для чего он нужен и как его определяет Банк России;Валютный курс — это стоимость определенной валюты, которая выражается в другой валюте. Валютный курс демонстрирует, сколько единиц валюты можно будет получить, если обменять ее на другую валюту.
Курс валют: для чего он нужен и как его определяет Банк России;На валютный курс влияет три основных фактора: спрос и предложение на валюту, которые действуют на бирже, политика Банка России, страны и экономико-политическая ситуация в мире.
Курс валют: для чего он нужен и как его определяет Банк России;Официальный курс валют, который устанавливает Банк России, зависит от средней цены рубля за одну торговую сессию валютной секции Московской биржи. Среднюю цену рубля за сегодня используют, чтобы определить курс валют на завтра.
LFL, или сопоставимые продажи: что это за показатель и как его используют инвесторы;LFL расшифровывается как Like-for-Like sales, или «сопоставимые продажи». Это показатель финансового анализа, который помогает оценить динамику роста компании и эффективность бизнеса.
LFL, или сопоставимые продажи: что это за показатель и как его используют инвесторы;Чтобы рассчитать LFL, необходимо разделить объем выручки за определенный период текущего года на определенный период прошлого года. Затем вычесть единицу и умножить результат на 100%.
LFL, или сопоставимые продажи: что это за показатель и как его используют инвесторы;LFL не включает выручку, которую принесло открытие дополнительных торговых точек или другие операции. Поэтому он дает более объективную картину финансового положения компании.
LFL, или сопоставимые продажи: что это за показатель и как его используют инвесторы;Инвесторы могут использовать LFL во время анализа публичных компаний из сферы розничной торговли или общественного питания. Сопоставимые продажи помогают выделить факторы, которые положительно или негативно влияют на выручку.
Как узнать, есть ли у меня ИИС;Чтобы получить налоговый вычет, у инвестора должен быть только один индивидуальный инвестиционный счет.
Как узнать, есть ли у меня ИИС;Если инвестор хочет перевести активы на ИИС к другому брокеру, он может открыть у такого брокера второй ИИС. Но первый ИИС нужно закрыть в течение месяца. В противном случае инвестор не сможет получить налоговый вычет и должен будет вернуть ранее полученные вычеты и пени.
Как узнать, есть ли у меня ИИС;Проверить ИИС на дубликаты можно, обратившись в налоговую службу.
Что такое своп в биржевой торговле и для чего он нужен;Своп — это вид контракта, которые заключают участники торгов. Они обмениваются между собой различными активами, которые обязуются вернуть через определенное время и на определенных условиях.
Что такое своп в биржевой торговле и для чего он нужен;Наиболее часто своп используют, чтобы хеджировать риски и более выгодно выходить на новые рынки.
Что такое своп в биржевой торговле и для чего он нужен;Свопы на акции — участники торгов фиксируют цены на акции определенных компаний и могут обменивать доход от ценных бумаг на доход в процентах.
Что такое своп в биржевой торговле и для чего он нужен;Процентные свопы — участники торгов заключают контракт, в котором фиксируют значений процентной ставки, чтобы выгодно проводить сделки.
Что такое своп в биржевой торговле и для чего он нужен;Валютные свопы — участники торгов договариваются обменять одинаковые денежные суммы по заранее оговоренным процентным ставкам.
Что такое своп в биржевой торговле и для чего он нужен;Товарные свопы — участники торгов фиксируют стоимость определенного биржевого товара, чтобы потенциальные изменения цены не влияли на сделку.
Что такое хеджирование и как его правильно использовать;Хеджирование — это инструмент, который помогает снизить риски инвестирования и сократить потенциальные убытки. Хеджирование используют, чтобы реагировать на изменение курсов стоимости определенных активов.
Что такое хеджирование и как его правильно использовать;В отличие от диверсификации хеджирование позволяет снижать риски даже в кризисных ситуациях, когда весь рынок демонстрирует отрицательный тренд.
Что такое хеджирование и как его правильно использовать;Основные финансовые инструменты, которые используют для хеджирования, — это фьючерсы, опционы, форварды и свопы. Инвесторы выбирают один из инструментов в зависимости от целей хеджирования.
Что такое хеджирование и как его правильно использовать;Форварды и свопы — это внебиржевые контракты. Они заключаются напрямую между сторонами сделки и поэтому менее стандартизированы. Форварды и свопы можно проводить как без участия посредника, так и с его помощью.
Что такое циклические и нециклические акции и сектора в экономике;Циклические акции — это акции компаний, бизнес которых зависит от общего состояния экономики.
Что такое циклические и нециклические акции и сектора в экономике;Экономические циклы повторяются, и есть ряд индикаторов, которые помогают предвидеть приближающиеся кризисы.
Что такое циклические и нециклические акции и сектора в экономике;Чтобы определить, относится ли компания с числу циклических, нужно представить, будут ли люди платить за ее товары и услуги во время кризиса. Еще можно посмотреть на бета-коэффициент: если он выше 1,5, вероятно, перед вами циклическая акция.
Что такое циклические и нециклические акции и сектора в экономике;В период экономического спада лучше присмотреться к производителям бытовой химии, продуктов питания, ИТ-компаниям и предприятиям из сектора коммунальных и медицинских услуг.
Брокерский счет: что это такое и как работает;Брокерский счет — это специальный счет, который позволяет инвесторам покупать ценные бумаги, валюту и другие активы на бирже.
Брокерский счет: что это такое и как работает;Чтобы выбрать надежного посредника и снизить риски инвестирования, стоит проверить лицензию на официальном сайте компании или на сайте ЦБ, узнать количество клиентов и объем торгов, а также прочитать отзывы в интернете.
Брокерский счет: что это такое и как работает;Существует два вида брокерского счета — обычный брокерский счет и ИИС, или индивидуальный инвестиционный счет. ИИС позволяет инвестору получать налоговые льготы.
Брокерский счет: что это такое и как работает;Открыть брокерский счет можно онлайн или в офисе компании. Обычно для этого надо предоставить паспорт, ИНН, СНИЛС, электронную почту и номер телефона.
Фондовый и срочный рынок: чем они отличаются и какой выбрать инвестору;Инвесторы могут не только продавать и покупать ценные бумаги, но и заключать контракты и торговать биржевыми товарами. В зависимости от активов и целей инвестора, он может использовать срочный или фондовый рынок.
Фондовый и срочный рынок: чем они отличаются и какой выбрать инвестору;На фондовом рынке инвесторы торгуют ценными бумагами, в том числе акциями публичных компаний. На срочном рынке участники торгов покупают и продают производные финансовые инструменты — фьючерсы и опционы.
Ставка дисконтирования: суть и методы расчета;Оценка инвестиционных проектов производится с помощью дисконтирования — приведения будущей стоимости к настоящему моменту времени. Скорость падения стоимости денег зависит от ставки дисконтирования, которая для каждого конкретного проекта индивидуальна.
Ставка дисконтирования: суть и методы расчета;Методы экспертных оценок основаны на опыте и интуиции специалистов, привлеченных для расчета ставки дисконтирования. Качество результатов всегда будет страдать от субъективности оценок специалистов.
Ставка дисконтирования: суть и методы расчета;Метод средневзвешенной стоимости совокупного капитала фирмы (Weighted Average Cost of Capital, WACC) учитывает стоимость владения собственным и заемным капиталом, но не учитывает риски.
Ставка дисконтирования: суть и методы расчета;Метод CAPM можно применять как для расчета доходности собственного капитала в модели WACC, так и в качестве определения ставки дисконтирования при вложениях в акции.
Ставка дисконтирования: суть и методы расчета;В моделях кумулятивного построения рисков безрисковая ставка и величина инфляции суммируются с отдельными рисковыми премиями.
Ставка дисконтирования: суть и методы расчета;Другие модели, в частности модель постоянного роста М. Дж. Гордона и расчет ставки дисконтирования на основе рентабельности капитала, имеют ограничения.
Что такое базовая прибыль на акцию и как ее используют инвесторы;Базовая прибыль на акцию, или EPS, — это финансовый показатель, который отражает соотношение стоимости одной акции и прибыли компании.
Что такое базовая прибыль на акцию и как ее используют инвесторы;Чтобы рассчитать базовую прибыль на акцию, надо вычесть из чистой прибыли дивиденды привилегированных акций и разделить эту сумму на количество обыкновенных акций в обращении.
Что такое базовая прибыль на акцию и как ее используют инвесторы;В отличие от базовой прибыли на акцию разводненная EPS учитывает все акции, которые могут попасть в обращение.
Что такое базовая прибыль на акцию и как ее используют инвесторы;EPS позволяет оценить прибыльность определенной компании. Показатель часто используют, чтобы рассчитать коэффициент P/E и определить, переоценена компания или недооценена.
Как торговать акциями на бирже: отвечаем на главные вопросы;Акции — это ценные бумаги, которые покупают инвесторы на фондовом рынке. Их выпускают на биржу публичные компании.
Как торговать акциями на бирже: отвечаем на главные вопросы;Чтобы торговать на фондовом рынке, необходимо использовать услуги брокера. Он является посредником между биржей и инвестором. Именно брокер проводит все операции инвестора с ценными бумагами.
Как торговать акциями на бирже: отвечаем на главные вопросы;Чтобы найти перспективную компанию для инвестирования, инвесторы используют технический или фундаментальный анализ. Технический анализ обращает внимание на прошлые значения стоимости акций. Фундаментальный анализ смотрит на отчетность компании и события на рынке.
Как торговать акциями на бирже: отвечаем на главные вопросы;Фонды состоят из разных ценных бумаг. Инвесторы могут купить акции или паи самого фонда, чтобы не собирать ценные бумаги по отдельности.
Форвардный контракт: что это такое простыми словами;Форвард — срочный контракт о поставке актива в будущем на заранее оговоренных условиях.
Форвардный контракт: что это такое простыми словами;Стороны заключают форвардное соглашение вне биржи и несут риски финансовой несостоятельности партнера. Главным преимуществом форварда является хеджирование рисков — возможность защитить бизнес от неблагоприятного развития рынка.
Форвардный контракт: что это такое простыми словами;Форвардный контракт носит индивидуальный характер и является результатом договоренности между двумя сторонами. В нем могут быть прописаны любые условия, в которых заинтересованы участники.
Форвардный контракт: что это такое простыми словами;Форвардный контракт может быть поставочным и расчетным. Поставочный — когда в конце срока одна сторона передает, а другая получает реальный актив. Расчетный — когда одна сторона получает денежную разницу между реальной и контрактной ценой без поставки реального актива.
Что такое вексель и чем он отличается от облигации;Вексели — это документарные ценные бумаги. Их нельзя купить на фондовом рынке. Обычно юридические лица используют вексели в расчетах или для отсрочки срока платежа.
Что такое вексель и чем он отличается от облигации;Облигации — это ценные бумаги, которые выпускает государство и коммерческие компании. Облигации котируются на бирже, и информация по эмитентам, выпустившим их, доступна широкому рынку.
Что такое вексель и чем он отличается от облигации;Есть два главных отличия векселей от облигаций: вексели нельзя приобрести на фондовом рынке и они выпускаются единично в зависимости от необходимости участников сделки.
Что такое вексель и чем он отличается от облигации;Инвесторы часто вкладываются в облигации, потому что это консервативный и надежный биржевой инструмент. В отличие от векселей они помогают диверсифицировать портфель и снизить риски от инвестирования.
Гарантийное обеспечение на бирже: что стоит знать;Гарантийное обеспечение (ГО) называют первоначальной маржой, оно выполняет роль страховки от неисполнения участниками торгов своих обязательств.
Гарантийное обеспечение на бирже: что стоит знать;Гарантийное обеспечение по фьючерсам взимается и с покупателя, и с продавца в одинаковом размере.
Гарантийное обеспечение на бирже: что стоит знать;Суммы гарантийного обеспечения для покупателя и продавца опциона не равны между собой, поскольку уровни риска для продавца и покупателя различаются. Гарантийное обеспечение покупателя опциона приблизительно равно его премии, в то время как продавца опциона — существенно выше.
Гарантийное обеспечение на бирже: что стоит знать;Размер гарантийного обеспечения меняется ежедневно и зависит от ликвидности и волатильности базового актива, срока экспирации и рисков по базовому активу.
Опционы пут и колл: чем они отличаются и как их используют инвесторы;Опцион — это контракт, который заключают между собой две стороны. Одна из них имеет право купить или продать определенный базовый актив в течение конкретного периода времени. Другая сторона обязуется продать или купить базовый актив.
Опционы пут и колл: чем они отличаются и как их используют инвесторы;Опцион колл — это контракт, по которому покупатель имеет право купить определенный актив в течение установленного периода времени. Продавец обязан продать этот актив.
Опционы пут и колл: чем они отличаются и как их используют инвесторы;Инвесторы используют опционы колл, чтобы зарабатывать на росте стоимости акций. Если котировки ценных бумаг пойдут вверх, инвестор воспользуется своим правом по опциону и получит прибыль.
Опционы пут и колл: чем они отличаются и как их используют инвесторы;Опцион пут — это контракт, который заключают две стороны в условиях биржевой торговли. Покупатель опциона пут имеет право продать базовый актив по определенной цене. Продавец обязан приобрести базовый актив.
Опционы пут и колл: чем они отличаются и как их используют инвесторы;Опционы пут помогают инвесторам компенсировать потери, если стоимость акций из их портфеля упадет. Для этого инвесторы покупают опционы пут на определенные акции. Если стоимость ценных бумаг действительно упадет, инвесторы закрывают опцион, получают прибыль и сокращают убытки.
Что такое индивидуальная инвестиционная рекомендация и когда она нужна;Индивидуальная инвестиционная рекомендация позволяет не выбирать активы самостоятельно, а поручить это экспертам.
Что такое индивидуальная инвестиционная рекомендация и когда она нужна;Деятельность инвестиционных советников регулируется Базовым стандартом совершения инвестиционным советником операций на финансовом рынке.
Что такое индивидуальная инвестиционная рекомендация и когда она нужна;Чтобы получить индивидуальную инвестиционную рекомендацию в сервисе Газпромбанк Инвестиции, войдите в личный кабинет приложения ? раздел «Другое» ? «Инвестиционный профиль». Пройдите инвестиционное профилирование и дождитесь появления индивидуальной инвестиционной рекомендации в личном кабинете.
Что такое индивидуальная инвестиционная рекомендация и когда она нужна;Инвестор может отказаться от использования индивидуальной инвестиционной рекомендации.
Маржинальная торговля на бирже: что это такое и как она работает;Маржинальная торговля — это способ инвестирования, при котором инвестор может совершать сделки на суммы больше, чем у него есть на счете. В основе маржинальной торговли лежат понятия маржи и плеча.
Маржинальная торговля на бирже: что это такое и как она работает;Количество средств, на которые может рассчитывать инвестор, зависит от ставки риска. Она показывает, с какой вероятностью, по мнению брокера, может упасть стоимость определенной ценной бумаги.
Маржинальная торговля на бирже: что это такое и как она работает;Маржа — определенное количество собственных средств инвестора, которые должны быть на его счете для открытия непокрытых позиций. На маржу влияет ставка риска. Существует два вида маржи — начальная и минимальная.
Маржинальная торговля на бирже: что это такое и как она работает;Есть две основные стратегии маржинальной торговли: длинная позиция (лонг) и короткая позиция (шорт). Лонг используют, чтобы зарабатывать на росте стоимости акции. Шорт позволяет заработать на ее падении.
Маржинальная торговля на бирже: что это такое и как она работает;Маржинальная торговля позволяет увеличить объем инвестиций, чтобы увеличивать прибыль и совершать сделки на бирже. Но в несколько раз увеличивается как потенциальная прибыль инвестора, так и его потенциальные убытки.
Что такое ликвидный портфель и как рассчитывать его стоимость;Ликвидный портфель инвестора — это стоимость всех ликвидных инструментов на брокерском счете за вычетом обязательств.
Что такое ликвидный портфель и как рассчитывать его стоимость;Список ликвидных инструментов формирует брокер и публикует на своем сайте. По каждой позиции устанавливает начальную ставку риска, отдельно для торговли в лонг и в шорт.
Что такое ликвидный портфель и как рассчитывать его стоимость;Наличие у инвестора ликвидных активов позволяет переносить позиции или заключать сделки репо переноса позиций.
Что такое ликвидный портфель и как рассчитывать его стоимость;В процессе биржевой торговли брокер следит, как соотносится портфель с маржой. Если стоимость ликвидного портфеля достигла размера начальной маржи, инвестор получает предупреждение. Если достиг размера минимальной маржи — брокер закрывает все или часть позиций на брокерском счете.
Что такое маржин-колл;Маржин-колл — предупреждение, которое дает возможность сократить свои убытки и не потерять весь капитал.
Что такое маржин-колл;Переход права в этом режиме торгов происходит на следующий торговый день после заключения сделки в случае российских акций, депозитарных расписок, паев БПИФ, облигаций в рублях и валюте и спустя два дня в случае иностранных акций.
Что такое маржин-колл;Режим Т+2 удобен инвесторам, использующим непокрытые сделки. Он позволяет получить один бесплатный день удержания маржинальной позиции.
Что такое режим торгов Т+;T+ — режим торгов на бирже, когда расчеты по заключенной сделки проходят через несколько рабочих дней.
Что такое режим торгов Т+;Переход права в режиме T+1 происходит на следующий торговый день после заключения сделки..
Что такое режим торгов Т+;Большинство инструментов на Мосбирже торгуются в режиме T+1, исключение — иностранные акции.
Что такое инвестиционный профиль и как его определяют;Инвестиционный профиль определяется по результатам детального анкетирования.
Что такое инвестиционный профиль и как его определяют;Инвестиционный профиль может быть консервативным, умеренным или агрессивным. В зависимости от этого инвестиционный советник сформирует индивидуальные инвестиционные рекомендации по портфелю или по отдельным финансовым инструментам.
Что такое инвестиционный профиль и как его определяют;Инвестиционный профиль можно изменить, если ваши инвестиционные цели, ожидания или иные обстоятельства изменились. Для этого нужно пройти анкетирование еще раз.
Основы торговли опционами;Опцион относится к инструментам срочного рынка и представляет собой контракт между покупателем и продавцом, который позволяет одной стороне купить или продать актив, предусмотренный договором в определенный срок или при определенных обстоятельствах.
Основы торговли опционами;Покупатель получает право, а продавец обязательство по совершению сделки с базовым активом.
Основы торговли опционами;Основные виды опционов: колл — на покупку базового актива, пут — на продажу базового актива, а также расчетные, поставочные, маржируемые, европейские и американские.
Основы торговли опционами;Опционы можно купить и продать на Московской бирже. Для доступа к торгам инвестор должен открыть брокерский счет и пройти тестирование, если он относится к неквалифицированным инвесторам.
Основы торговли опционами;Прибыль покупателя опциона call формируется за счет роста котировок базового актива, опциона put — за счет падения котировок. Убыток ограничен премией, которую получает продавец. Риск продавца значительно выше риска покупателя.
Уровни Фибоначчи: что это такое и как их используют в торговле;ФинансовУровни Фибоначчи — это инструмент технического анализа, который используется для прогнозирования движения цены ценной бумаги.ая отчетность — это специальный документ, с помощью которого инвесторы могут оценивать результаты финансовой деятельности определенной компании. Все публичные компании регулярно выпускают финансовую отчетность.
Уровни Фибоначчи: что это такое и как их используют в торговле;С помощью уровней Фибоначчи трейдеры могут выбрать два любых значения стоимости ценной бумаги и построить уровни поддержки и сопротивления.
Уровни Фибоначчи: что это такое и как их используют в торговле;Чтобы использовать уровни Фибоначчи для анализа нисходящего тренда — нужно следить за уровнями сопротивления.
Уровни Фибоначчи: что это такое и как их используют в торговле;Чтобы проанализировать восходящий тренд с использованием уровней Фибоначчи — нужно следить за уровнями поддержки.
Уровни Фибоначчи: что это такое и как их используют в торговле;Уровни Фибоначчи рассчитываются только по графику истории торгов по инструменту , а такие важные данные как например финансовая отчетность компаний или последние новости не принимаются в расчет. Поэтому не стоит опираться только на этот инструмент при принятии инвестиционного решения.
Что такое балансовая стоимость акции и как ее считать;Балансовая стоимость акций отражает бухгалтерскую стоимость активов, которыми обеспечена ценная бумага.
Что такое балансовая стоимость акции и как ее считать;Балансовая стоимость акций используется в расчете мультипликатора P/B.
Что такое балансовая стоимость акции и как ее считать;Считается, что чем ближе коэффициент P/В к единице, тем более справедливо акции компании оценены рынком.
Что такое балансовая стоимость акции и как ее считать;Коэффициент имеет свои особенности и помогает оценивать компании, имеющие на балансе реальные активы. Коэффициент ИТ-компаний может быть сильно завышен, и это будет считаться нормой.
Гонконгский доллар: посол Америки на территории Китая;Курс гонконгского доллара привязан к доллару США в соотношении от 7,75 до 7,85 HKD к 1 USD с 1983 года. Он не менялся, несмотря на мировые финансовые кризисы. Чтобы узнать, можно ли инвестировать в иностранные эмитенты, нужно поискать свою должность в 79–ФЗ и приказе ведомства, в котором он трудоустроен.
Гонконгский доллар: посол Америки на территории Китая;Банки-эмитенты в Гонконге могут выпускать столько местной валюты, сколько американских долларов поступило к ним на счет. Таким образом, гонконгский доллар надежно защищен валютными резервами.
Гонконгский доллар: посол Америки на территории Китая;Экономика Гонконга процветает и в составе КНР благодаря реализации принципа «одна страна — две системы».
